RouterName,SamplerAddress,IfIndex,IfName
CORE-A,213.151.32.60,1,fxp0
CORE-A,213.151.32.60,13,fxp0.0
CORE-A,213.151.32.60,542,esi
CORE-A,213.151.32.60,543,jsrv
CORE-A,213.151.32.60,544,jsrv.1
CORE-A,213.151.32.60,545,vtep
CORE-A,213.151.32.60,553,xe-0/0/0
CORE-A,213.151.32.60,554,xe-0/0/1
CORE-A,213.151.32.60,555,xe-0/0/2
CORE-A,213.151.32.60,556,xe-0/0/3
CORE-A,213.151.32.60,557,xe-0/0/4
CORE-A,213.151.32.60,558,xe-0/0/5
CORE-A,213.151.32.60,559,xe-0/0/6
CORE-A,213.151.32.60,560,xe-0/0/7
CORE-A,213.151.32.60,561,xe-0/0/8
CORE-A,213.151.32.60,562,xe-0/0/9
CORE-A,213.151.32.60,563,xe-0/2/0
CORE-A,213.151.32.60,564,xe-0/2/1
CORE-A,213.151.32.60,565,xe-0/2/2
CORE-A,213.151.32.60,566,xe-0/2/3
CORE-A,213.151.32.60,567,xe-0/2/4
CORE-A,213.151.32.60,568,xe-0/2/5
CORE-A,213.151.32.60,569,xe-0/2/6
CORE-A,213.151.32.60,570,xe-0/2/7
CORE-A,213.151.32.60,571,xe-0/2/8
CORE-A,213.151.32.60,572,xe-0/2/9
CORE-A,213.151.32.60,573,pd-0/0/0
CORE-A,213.151.32.60,574,pe-0/0/0
CORE-A,213.151.32.60,575,gr-0/0/0
CORE-A,213.151.32.60,576,ip-0/0/0
CORE-A,213.151.32.60,577,vt-0/0/0
CORE-A,213.151.32.60,578,mt-0/0/0
CORE-A,213.151.32.60,579,lt-0/0/0
CORE-A,213.151.32.60,580,ut-0/0/0
CORE-A,213.151.32.60,581,ud-0/0/0
CORE-A,213.151.32.60,582,ae0
CORE-A,213.151.32.60,583,ae1
CORE-A,213.151.32.60,584,ae0.6
CORE-A,213.151.32.60,585,ae0.8
CORE-A,213.151.32.60,586,ae0.10
CORE-A,213.151.32.60,587,ae0.15
CORE-A,213.151.32.60,588,ae0.16
CORE-A,213.151.32.60,589,ae0.17
CORE-A,213.151.32.60,590,ae0.21
CORE-A,213.151.32.60,591,ae0.28
CORE-A,213.151.32.60,592,ae0.128
CORE-A,213.151.32.60,593,ae0.41
CORE-A,213.151.32.60,594,ae0.42
CORE-A,213.151.32.60,595,ae0.50
CORE-A,213.151.32.60,596,ae0.52
CORE-A,213.151.32.60,597,ae0.55
CORE-A,213.151.32.60,598,ae0.57
CORE-A,213.151.32.60,599,ae0.79
CORE-A,213.151.32.60,600,xe-0/0/0.79
CORE-A,213.151.32.60,601,ae0.77
CORE-A,213.151.32.60,602,ae0.78
CORE-A,213.151.32.60,603,ae0.81
CORE-A,213.151.32.60,604,ae0.84
CORE-A,213.151.32.60,605,ae0.96
CORE-A,213.151.32.60,606,ae0.100
CORE-A,213.151.32.60,607,ae0.101
CORE-A,213.151.32.60,608,ae0.102
CORE-A,213.151.32.60,609,ae0.710
CORE-A,213.151.32.60,610,ae0.711
CORE-A,213.151.32.60,611,ae0.712
CORE-A,213.151.32.60,612,ae0.713
CORE-A,213.151.32.60,613,ae0.714
CORE-A,213.151.32.60,614,ae0.889
CORE-A,213.151.32.60,615,ae0.1007
CORE-A,213.151.32.60,616,ae0.1012
CORE-A,213.151.32.60,617,ae0.1020
CORE-A,213.151.32.60,618,ae0.1021
CORE-A,213.151.32.60,619,ae0.1027
CORE-A,213.151.32.60,620,ae0.1028
CORE-A,213.151.32.60,621,ae0.1033
CORE-A,213.151.32.60,623,ae0.1037
CORE-A,213.151.32.60,624,xe-0/0/0.1028
CORE-A,213.151.32.60,625,xe-0/0/1.1028
CORE-A,213.151.32.60,626,ae0.2010
CORE-A,213.151.32.60,627,ae0.2030
CORE-A,213.151.32.60,628,ae0.3010
CORE-A,213.151.32.60,629,ae0.3030
CORE-A,213.151.32.60,631,ae1.101
CORE-A,213.151.32.60,634,xe-0/0/0.3030
CORE-A,213.151.32.60,635,xe-0/0/0.3010
CORE-A,213.151.32.60,636,xe-0/0/0.2030
CORE-A,213.151.32.60,637,xe-0/0/0.2010
CORE-A,213.151.32.60,638,xe-0/0/2.1028
CORE-A,213.151.32.60,639,xe-0/0/3.1028
CORE-A,213.151.32.60,640,xe-0/0/0.1037
CORE-A,213.151.32.60,642,xe-0/0/0.1033
CORE-A,213.151.32.60,643,xe-0/2/0.1028
CORE-A,213.151.32.60,644,xe-0/0/0.1027
CORE-A,213.151.32.60,645,xe-0/0/0.1021
CORE-A,213.151.32.60,646,xe-0/0/0.1020
CORE-A,213.151.32.60,647,xe-0/0/0.1012
CORE-A,213.151.32.60,648,xe-0/0/0.1007
CORE-A,213.151.32.60,649,xe-0/0/0.889
CORE-A,213.151.32.60,650,xe-0/0/0.714
CORE-A,213.151.32.60,651,xe-0/0/0.713
CORE-A,213.151.32.60,652,xe-0/0/0.712
CORE-A,213.151.32.60,653,xe-0/0/0.711
CORE-A,213.151.32.60,654,xe-0/0/0.710
CORE-A,213.151.32.60,655,xe-0/0/0.102
CORE-A,213.151.32.60,656,xe-0/0/0.101
CORE-A,213.151.32.60,657,xe-0/0/0.100
CORE-A,213.151.32.60,658,xe-0/0/0.96
CORE-A,213.151.32.60,659,xe-0/0/0.84
CORE-A,213.151.32.60,660,xe-0/0/0.81
CORE-A,213.151.32.60,661,xe-0/0/0.78
CORE-A,213.151.32.60,662,xe-0/0/0.77
CORE-A,213.151.32.60,663,xe-0/0/1.79
CORE-A,213.151.32.60,664,xe-0/0/2.79
CORE-A,213.151.32.60,665,xe-0/0/0.57
CORE-A,213.151.32.60,666,xe-0/0/0.55
CORE-A,213.151.32.60,667,xe-0/0/0.52
CORE-A,213.151.32.60,668,xe-0/0/0.50
CORE-A,213.151.32.60,669,xe-0/0/0.42
CORE-A,213.151.32.60,670,xe-0/0/0.41
CORE-A,213.151.32.60,671,ae0.130
CORE-A,213.151.32.60,672,xe-0/0/0.28
CORE-A,213.151.32.60,673,xe-0/0/0.21
CORE-A,213.151.32.60,674,xe-0/0/0.17
CORE-A,213.151.32.60,675,xe-0/0/0.16
CORE-A,213.151.32.60,676,xe-0/0/0.15
CORE-A,213.151.32.60,677,xe-0/0/0.10
CORE-A,213.151.32.60,678,xe-0/0/0.8
CORE-A,213.151.32.60,679,xe-0/0/0.6
CORE-A,213.151.32.60,681,xe-0/0/1.3030
CORE-A,213.151.32.60,682,xe-0/0/1.3010
CORE-A,213.151.32.60,683,xe-0/0/1.2030
CORE-A,213.151.32.60,684,xe-0/0/1.2010
CORE-A,213.151.32.60,685,xe-0/2/1.1028
CORE-A,213.151.32.60,686,xe-0/2/2.1028
CORE-A,213.151.32.60,687,xe-0/0/1.1037
CORE-A,213.151.32.60,689,xe-0/0/1.1033
CORE-A,213.151.32.60,690,xe-0/2/3.1028
CORE-A,213.151.32.60,691,xe-0/0/1.1027
CORE-A,213.151.32.60,692,xe-0/0/1.1021
CORE-A,213.151.32.60,693,xe-0/0/1.1020
CORE-A,213.151.32.60,694,xe-0/0/1.1012
CORE-A,213.151.32.60,695,xe-0/0/1.1007
CORE-A,213.151.32.60,696,xe-0/0/1.889
CORE-A,213.151.32.60,697,xe-0/0/1.714
CORE-A,213.151.32.60,698,xe-0/0/1.713
CORE-A,213.151.32.60,699,xe-0/0/1.712
CORE-A,213.151.32.60,700,xe-0/0/1.711
CORE-A,213.151.32.60,701,xe-0/0/1.710
CORE-A,213.151.32.60,702,xe-0/0/1.102
CORE-A,213.151.32.60,703,xe-0/0/1.101
CORE-A,213.151.32.60,704,xe-0/0/1.100
CORE-A,213.151.32.60,705,xe-0/0/1.96
CORE-A,213.151.32.60,706,xe-0/0/1.84
CORE-A,213.151.32.60,707,xe-0/0/1.81
CORE-A,213.151.32.60,708,xe-0/0/1.78
CORE-A,213.151.32.60,709,xe-0/0/1.77
CORE-A,213.151.32.60,710,xe-0/0/3.79
CORE-A,213.151.32.60,711,xe-0/0/5.79
CORE-A,213.151.32.60,712,xe-0/0/1.57
CORE-A,213.151.32.60,713,xe-0/0/1.55
CORE-A,213.151.32.60,714,xe-0/0/1.52
CORE-A,213.151.32.60,715,xe-0/0/1.50
CORE-A,213.151.32.60,716,xe-0/0/1.42
CORE-A,213.151.32.60,717,xe-0/0/1.41
CORE-A,213.151.32.60,718,xe-0/0/0.128
CORE-A,213.151.32.60,719,xe-0/0/1.28
CORE-A,213.151.32.60,720,xe-0/0/1.21
CORE-A,213.151.32.60,721,xe-0/0/1.17
CORE-A,213.151.32.60,722,xe-0/0/1.16
CORE-A,213.151.32.60,723,xe-0/0/1.15
CORE-A,213.151.32.60,724,xe-0/0/1.10
CORE-A,213.151.32.60,725,xe-0/0/1.8
CORE-A,213.151.32.60,726,xe-0/0/1.6
CORE-A,213.151.32.60,728,xe-0/0/2.3030
CORE-A,213.151.32.60,729,xe-0/0/2.3010
CORE-A,213.151.32.60,730,xe-0/0/2.2030
CORE-A,213.151.32.60,731,xe-0/0/2.2010
CORE-A,213.151.32.60,732,rbeb
CORE-A,213.151.32.60,733,ae0.2007
CORE-A,213.151.32.60,734,xe-0/0/2.1037
CORE-A,213.151.32.60,736,xe-0/0/2.1033
CORE-A,213.151.32.60,737,xe-0/0/0.2007
CORE-A,213.151.32.60,738,xe-0/0/2.1027
CORE-A,213.151.32.60,739,xe-0/0/2.1021
CORE-A,213.151.32.60,740,xe-0/0/2.1020
